Item LC 116;Descrição Item;NBS;DESCRIÇÃO NBS;PS ONEROSA? (S/N);ADQ EXTERIOR? (S/N);INDOP;Local incidência IBS;cClassTrib;nome cClassTrib;;
01.06;Assessoria E Consultoria Em Informática.;1.1501.10.00;Serviços de consultoria em tecnologia da informação (TI) ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1501.20.00;Serviços de segurança em tecnologia da informação (TI) ;;;;;;;;
;;;;;;;;200043;Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI);;
;;;;;;;;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);;
;;1.1507.10.00;Serviços de gerenciamento de redes em tecnologia da informação (TI);;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1507.20.00;Serviços de gerenciamento de sistemas computacionais ;;;;;;;;
;;1.1507.90.00;Serviços de gerenciamento de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
;;1.1510.00.00;Serviços de tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
;;;;;;;;200043;Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI);;
;;;;;;;;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) ;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.1508.00.00;Serviços de manutenção de aplicativos e programas ;S;N;100301;Domicílio principal do adquirente;;;;
;;1.1502.10.00;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ;;;;;;;;
;;1.1502.20.00;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ;;;;;;;;
01.08;Planejamento, Confecção, Manutenção E Atualização De Páginas Eletrônicas.;1.1502.30.00;Serviços de projeto e desenvolvimento de estruturas e conteúdo de páginas eletrônicas;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200040;Fornecimento de serviços de comunicação institucional à administração pública;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.10.00;Serviços de oferta de livros, jornais, periódicos, diretórios e malas diretas de acesso imediato (on-line);S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1703.21.00;Serviços de oferta de áudio para download;;;;;;;;
;;1.1703.22.00;Serviços de oferta de áudio de conteúdo contínuo (streaming);;;;;;;;
;;1.1703.31.00;Serviços de oferta de arquivos contendo filmes e vídeos para download;;;;;;;;
;;1.1703.32.00;Serviços de oferta de filmes e vídeos de conteúdo contínuo (streaming);;;;;;;;
;;1.1703.91.00;Serviços de oferta de jogos de acesso imediato (on-line) ;;;;;;;;
;;1.1703.92.00;Serviços de oferta de conteúdo de portais de busca na rede mundial de computadores;;;;;;;;
;;1.1703.99.00;Serviços de oferta de outros conteúdos de acesso imediato (on-line) não classificados em subposições anteriores;;;;;;;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.11.00;Serviços de pesquisa e desenvolvimento em ciências físicas;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.12.00;Serviços de pesquisa e desenvolvimento em química e biologia;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.19.00;Serviços de pesquisa e desenvolvimento em ciências não classificadas em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.20.00;Serviços de pesquisa e desenvolvimento em biotecnologia;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.31.00;Serviços de pesquisa e desenvolvimento em Tecnologia da Informação e Comunicação (TIC);;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.32.00;Serviços de pesquisa e desenvolvimento em nanotecnologia;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.33.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia nucleares;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.34.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia em micro-ondas de potência;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.39.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia não classificados em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.40.00;Serviços de pesquisa e desenvolvimento em ciências médicas, odontológicas e farmacêuticas;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.50.00;Serviços de pesquisa e desenvolvimento em ciências agrárias;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1201.90.00;Serviços de pesquisa e desenvolvimento em ciências, engenharia e tecnologia não classificados em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1202.10.00;Serviços de pesquisa e desenvolvimento em psicologia;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1202.20.00;Serviços de pesquisa e desenvolvimento em ciências econômicas;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1202.30.00;Serviços de pesquisa e desenvolvimento em direito;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1202.40.00;Serviços de pesquisa e desenvolvimento em línguas e literatura;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1202.90.00;Serviços de pesquisa e desenvolvimento em ciências sociais e humanidades não classificadas em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
;;1.1203.00.00;Serviços de pesquisa e desenvolvimento interdisciplinar;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
03.02;Cessão De Direito De Uso De Marcas E De Sinais De Propaganda.;1.1103.33.00;Licenciamento de direitos de autor de obras publicitárias;S;N;100501;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1104.20.00;Licenciamento de direitos sobre marcas ;;;;;;;;
;;1.1106.33.00;Cessão temporária de direitos de autor de obras publicitárias;;;;;;;;
;;1.1107.33.00;Cessão definitiva de direitos de obras publicitárias;;;;;;;;
;;1.1108.20.00;Cessão definitiva de direitos sobre marcas;;;;;;;;
03.03;Exploração De Salões De Festas, Centro De Convenções, Escritórios Virtuais, Stands, Quadras Esportivas, Estádios, Ginásios, Auditórios, Casas De Espetáculos, Parques De Diversões, Canchas E Congêneres, Para Realização De Eventos Ou Negócios De Qualquer Natureza.;1.1805.31.00;Serviços de reservas para centros de convenções, auditórios e salas de exposições;;;20101;local do imóvel;200027;Operações de locação, cessão onerosa e arrendamento de bens imóveis;;
;;1.1806.61.00;Serviços de assistência e organização de convenções ;;;;;;;;
;;1.1806.62.00;Serviços de assistência e organização de feiras de negócios;;;;;;;;
;;1.1806.63.00;Serviços de assistência e organização de exposições e outros eventos ;;;;;;;;
;;1.2508.00.00;Serviços recreativos, culturais e desportivos não classificados em posições anteriores;;;;;;;;
03.04;Locação, Sublocação, Arrendamento, Direito De Passagem Ou Permissão De Uso, Compartilhado Ou Não, De Ferrovia, Rodovia, Postes, Cabos, Dutos E Condutos De Qualquer Natureza.;1.1001.12.10;Serviços de administração e locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza;;;20201;local do imóvel;200027;Operações de locação, cessão onerosa e arrendamento de bens imóveis;;
03.05;Cessão De Andaimes, Palcos, Coberturas E Outras Estruturas De Uso Temporário.;1.0105.70.00;Serviços de andaimes;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0105.50.00;Serviços de montagem de estruturas de aço;;;050101;local da prestação;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;;;;;050101;local da prestação;200039;Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X);;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
04.01;Medicina E Biomedicina.;1.2301.22.00;Serviços médicos especializados ;;;030101;local da prestação;200029;Fornecimento dos serviços de saúde humana (Anexo III);;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
04.02;Análises Clínicas, Patologia, Eletricidade Médica, Radioterapia, Quimioterapia, Ultra-Sonografia, Ressonância Magnética, Radiologia, Tomografia E Congêneres.;1.2301.93.00;Serviços laboratoriais ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2301.94.00;Serviços de diagnóstico por imagem;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
04.03;Hospitais, Clínicas, Laboratórios, Sanatórios, Manicômios, Casas De Saúde, Prontos-Socorros, Ambulatórios E Congêneres.;1.2301.11.00;Serviços cirúrgicos ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.12.00;Serviços ginecológicos e obstétricos ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.13.00;Serviços psiquiátricos ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.14.00;Serviços prestados em Unidades de Terapia Intensiva;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.15.00;Serviços de atendimento de urgência ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.19.00;Serviços hospitalares não classificados em subposições anteriores;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.21.00;Serviços de clínica médica ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.93.00;Serviços laboratoriais ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.04;Instrumentação Cirúrgica.;1.2301.11.00;Serviços cirúrgicos ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.05;Acupuntura.;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.06;Enfermagem, Inclusive Serviços Auxiliares.;1.2301.91.00;Serviços de enfermagem ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.97.00;Serviços de assistência ao parto e pós-parto;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.07;Serviços farmacêuticos;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
04.08;Terapia Ocupacional, Fisioterapia E Fonoaudiologia.;1.2301.92.00;Serviços de fisioterapia ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.09;Terapias De Qualquer Espécie Destinadas Ao Tratamento Físico, Orgânico E Mental.;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.10;Nutrição.;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
04.11;Obstetrícia.;1.2301.12.00;Serviços ginecológicos e obstétricos ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2301.97.00;Serviços de assistência ao parto e pós-parto;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.12;Odontologia.;1.2301.23.00;Serviços odontológicos;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.13;Ortóptica.;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.14;Próteses Sob Encomenda.;1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores;S;N;100301;Domicílio principal do adquirente;;;;
04.15;Psicanálise.;1.2301.22.00;Serviços médicos especializados ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.16;Psicologia.;1.2301.98.00;Serviços de psicologia;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
04.17;Casas De Repouso E De Recuperação, Creches, Asilos E Congêneres.;1.2201.11.00;Serviços de creche ou entidade equivalente;;;30101;local da prestação;;;;
;;1.2302.10.00;Serviços de cuidado em saúde em unidades de acolhimento;;;;;;;;
;;1.2302.21.00;Serviços de assistência a idosos em unidades de acolhimento ;;;;;;;;
;;1.2302.22.00;Serviços de assistência a crianças e adolescentes com deficiência em unidades de acolhimento ;;;;;;;;
;;1.2302.23.00;Serviços de assistência a adultos com deficiência em unidades de acolhimento;;;;;;;;
;;1.2303.00.00;Serviços de assistência social com acomodação;;;;;;;;
04.18;Inseminação Artificial, Fertilização In Vitro E Congêneres.;1.2301.21.00;Serviços de clínica médica ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.19;Bancos De Sangue, Leite, Pele, Olhos, Óvulos, Sêmen E Congêneres.;1.2301.95.00;Serviços de bancos de material biológico humano ;;;301001;local da prestação;;;;
04.20;Coleta De Sangue, Leite, Tecidos, Sêmen, Órgãos E Materiais Biológicos De Qualquer Espécie.;1.2301.95.00;Serviços de bancos de material biológico humano ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.21;Unidade De Atendimento, Assistência Ou Tratamento Móvel E Congêneres.;1.2301.96.00;Serviços de ambulância ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
04.22;Planos De Medicina De Grupo Ou Individual E Convênios Para Prestação De Assistência Médica, Hospitalar, Odontológica E Congêneres.;1.0910.10.00;Serviços de planos privados de assistência à saúde;S;N;100301;Domicílio principal do adquirente;011002;Planos de assistência à saúde;;
;;1.0910.90.00;Serviços de planos privados de assistência à saúde e serviços relacionados não classificados em subposições anteriores;;;;;;;;
04.23;Outros Planos De Saúde Que Se Cumpram Através De Serviços De Terceiros Contratados, Credenciados, Cooperados Ou Apenas Pagos Pelo Operador Do Plano Mediante Indicação Do Beneficiário.;1.0910.10.00;Serviços de planos privados de assistência à saúde;S;N;100301;Domicílio principal do adquirente;011002;Planos de assistência à saúde;;
;;1.0910.90.00;Serviços de planos privados de assistência à saúde e serviços relacionados não classificados em subposições anteriores;;;;;;;;
05.01;Medicina Veterinária E Zootecnia.;1.1405.12.00;Serviços de atendimento, assistência ou tratamento para animais domésticos;;;050101;local da prestação;200052;Prestação de serviços de profissões intelectuais;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.1405.22.00;Serviços de atendimento, assistência ou tratamento para animais de corte;;;050101;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.1405.90.00;Serviços veterinários não classificados em subposições anteriores;;;050101;;200052;Prestação de serviços de profissões intelectuais;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
05.02;Hospitais, Clínicas, Ambulatórios, Prontos-Socorros E Congêneres, Na Área Veterinária.;1.1405.11.00;Serviços hospitalares, com ou sem internação, para animais domésticos;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1405.12.00;Serviços de atendimento, assistência ou tratamento para animais domésticos;;;;;;;;
;;1.1405.21.00;Serviços hospitalares, com ou sem internação, para animais de corte;;;;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;1.1405.22.00;Serviços de atendimento, assistência ou tratamento para animais de corte;;;;;;;;
05.03;Laboratórios De Análise Na Área Veterinária.;1.1405.90.00;Serviços veterinários não classificados em subposições anteriores;;;50101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
05.04;Inseminação Artificial, Fertilização In Vitro E Congêneres.;1.1405.90.00;Serviços veterinários não classificados em subposições anteriores;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
05.05;Bancos De Sangue E De Órgãos E Congêneres.;1.1405.40.00;Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos;;;50101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
05.06;Coleta De Sangue, Leite, Tecidos, Sêmen, Órgãos E Materiais Biológicos De Qualquer Espécie.;1.1405.40.00;Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
05.07;Unidade De Atendimento, Assistência Ou Tratamento Móvel E Congêneres.;1.1405.12.00;Serviços de atendimento, assistência ou tratamento para animais domésticos;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.1405.22.00;Serviços de atendimento, assistência ou tratamento para animais de corte;;;050101;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
05.08;Guarda, Tratamento, Amestramento, Embelezamento, Alojamento E Congêneres.;1.1405.60.00;Serviços de guarda, adestramento, embelezamento e alojamento;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
05.09;Planos De Atendimento E Assistência Médico-Veterinária.;1.1405.50.00;Planos de atendimento e assistência médico-veterinária;S;N;100301;Domicílio principal do adquirente;011005;Planos de assistência à saúde de animais domésticos;;
06.01;Barbearia, Cabeleireiros, Manicuros, Pedicuros E Congêneres.;1.2602.10.00;Serviços de cabeleireiros e barbeiros ;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
